"","EntrezID","GeneSymbol","ConfidenceCategory","TRIAGEhit","Pathway","InteractingGenes","NetworkGenePathways"
"11769",5329,"PLAUR","HighConf","Yes","Complement and coagulation cascades","ITGAM, ITGB2, VTN, SERPINB2","Complement and coagulation cascades (4), Leukocyte transendothelial migration (2), Phagosome (2), Natural killer cell mediated cytotoxicity (1), Hematopoietic cell lineage (1), Cell adhesion molecules (CAMs) (2)"
"11890",5371,"PML","MedConf","Yes","Endocytosis","OAS3, OAS2, IRF5, CD44, MT2A, HLA-B, ICAM1, HLA-A, GBP1, GBP2","NOD-like receptor signaling pathway (4), Natural killer cell mediated cytotoxicity (3), Cellular senescence (2), Antigen processing and presentation (2), Type I diabetes mellitus (2), Endocytosis (2), Phagosome (2), Leukocyte transendothelial migration (1), AGE-RAGE signaling pathway in diabetic complications (1), TNF signaling pathway (1), NF-kappa B signaling pathway (1), Mineral absorption (1), Hematopoietic cell lineage (1), Toll-like receptor signaling pathway (1), Cell adhesion molecules (CAMs) (3)"
"12172",5538,"PPT1","MedConf","Yes","Lysosome, Fatty acid metabolism","ACSL1, ACSL4","Fatty acid metabolism (2), Adipocytokine signaling pathway (2), Fatty acid biosynthesis (2), PPAR signaling pathway (2), Ferroptosis (2)"
"12526",5743,"PTGS2","HighConf","Yes","NF-kappa B signaling pathway, TNF signaling pathway, IL-17 signaling pathway","PLA2G4A","Necroptosis (1)"
"12546",5770,"PTPN1","MedConf","Yes",NA,"TXN, STAT5A","NOD-like receptor signaling pathway (1), ErbB signaling pathway (1), Prolactin signaling pathway (1), AGE-RAGE signaling pathway in diabetic complications (1), Necroptosis (1)"
"12993",5966,"REL","HighConf","Yes",NA,"NFKB2, NFKB1","Osteoclast differentiation (2), NF-kappa B signaling pathway (2), IL-17 signaling pathway (1), Cellular senescence (1), RIG-I-like receptor signaling pathway (1), Prolactin signaling pathway (1), Adipocytokine signaling pathway (1), Apoptosis (1), Antifolate resistance (1), Chemokine signaling pathway (1), AGE-RAGE signaling pathway in diabetic complications (1), HIF-1 signaling pathway (1), Cytosolic DNA-sensing pathway (1), TNF signaling pathway (1), Toll-like receptor signaling pathway (1), NOD-like receptor signaling pathway (1)"
"13895",5055,"SERPINB2","HighConf","Yes","Complement and coagulation cascades","PLAUR","Complement and coagulation cascades (1)"
"14705",8724,"SNX3","MedConf","Yes","Endocytosis",NA,NA
"14959",8878,"SQSTM1","MedConf","Yes","Osteoclast differentiation, Necroptosis, Cellular senescence","NFKB1, IL1B, GABARAP","NOD-like receptor signaling pathway (3), IL-17 signaling pathway (2), Antifolate resistance (2), AGE-RAGE signaling pathway in diabetic complications (2), Cytosolic DNA-sensing pathway (2), TNF signaling pathway (2), Toll-like receptor signaling pathway (2), Osteoclast differentiation (2), NF-kappa B signaling pathway (2), Type I diabetes mellitus (1), Necroptosis (1), Hematopoietic cell lineage (1), Cellular senescence (1), RIG-I-like receptor signaling pathway (1), Prolactin signaling pathway (1), Adipocytokine signaling pathway (1), Apoptosis (1), Chemokine signaling pathway (1), HIF-1 signaling pathway (1)"
"14962",6714,"SRC","MedConf","Yes","Endocytosis, Chemokine signaling pathway, Prolactin signaling pathway, ErbB signaling pathway",NA,NA
"15111",6772,"STAT1","MedConf","Yes","NOD-like receptor signaling pathway, Osteoclast differentiation, Necroptosis, Toll-like receptor signaling pathway, AGE-RAGE signaling pathway in diabetic complications, Chemokine signaling pathway, Prolactin signaling pathway","IFIT1, CAMK2D, STAT5A, ISG15, EIF2AK2","Necroptosis (3), ErbB signaling pathway (2), RIG-I-like receptor signaling pathway (1), Prolactin signaling pathway (1), AGE-RAGE signaling pathway in diabetic complications (1), HIF-1 signaling pathway (1)"
"15115",6776,"STAT5A","HighConf","Yes","Necroptosis, AGE-RAGE signaling pathway in diabetic complications, Prolactin signaling pathway, ErbB signaling pathway","STAT1, CD40, NCSTN, PTPN1, CBL","Toll-like receptor signaling pathway (2), ErbB signaling pathway (1), Endocytosis (1), NF-kappa B signaling pathway (1), Prolactin signaling pathway (1), Chemokine signaling pathway (1), AGE-RAGE signaling pathway in diabetic complications (1), Necroptosis (1), Osteoclast differentiation (1), NOD-like receptor signaling pathway (1), Cell adhesion molecules (CAMs) (1)"
"15688",7037,"TFRC","HighConf","Yes","Hematopoietic cell lineage, Ferroptosis, Phagosome, Endocytosis, HIF-1 signaling pathway",NA,NA
"15696",7045,"TGFBI","HighConf","Yes",NA,"ITGB2, ITGAM","Leukocyte transendothelial migration (2), Complement and coagulation cascades (2), Phagosome (2), Natural killer cell mediated cytotoxicity (1), Hematopoietic cell lineage (1), Cell adhesion molecules (CAMs) (2)"
"16331",7185,"TRAF1","HighConf","Yes","NF-kappa B signaling pathway, TNF signaling pathway, Apoptosis","NFKB1, CD40","Toll-like receptor signaling pathway (2), NF-kappa B signaling pathway (2), IL-17 signaling pathway (1), Cellular senescence (1), RIG-I-like receptor signaling pathway (1), Prolactin signaling pathway (1), Adipocytokine signaling pathway (1), Apoptosis (1), Antifolate resistance (1), Chemokine signaling pathway (1), AGE-RAGE signaling pathway in diabetic complications (1), HIF-1 signaling pathway (1), Cytosolic DNA-sensing pathway (1), TNF signaling pathway (1), Osteoclast differentiation (1), NOD-like receptor signaling pathway (1), Cell adhesion molecules (CAMs) (1)"
"16708",7295,"TXN","HighConf","Yes","NOD-like receptor signaling pathway","PTPN1",NA
"17172",7448,"VTN","MedConf","Yes","Complement and coagulation cascades","PLAUR","Complement and coagulation cascades (1)"
"17579",677,"ZFP36L1","MedConf","Yes","Cellular senescence",NA,NA
