"GeneSymbol","X","EntrezID","Zscore","NetworkDegree","Exp_Stat_Value","KEGGdb","LowestCSAscore","LowestCSAscoreCorrected","ZSdes","NAdes","CSAdes","Replicate1","KEGG.1","KEGG.class.iteration1","Network.1","Network.class.iteration1","KEGG.2","KEGG.class.iteration2","Network.2","Network.class.iteration2","KEGG.3","KEGG.class.iteration3","Network.3","Network.class.iteration3","KEGG.4","KEGG.class.iteration4","Network.4","Network.class.iteration4","KEGG.5","KEGG.class.iteration5","Pathway"
"CNOT1",4428,"23019",0.826,0,1,"Present",1,1,"0","0","0",0,"No",0,"No",0,"No",0,"No",0,"No",0,"No",0,"No",0,"No",0,"No",0,NA
"CNOT10",5371,"25904",0.087,0,1,"Present",1,1,"0","0","0",0,"No",0,"No",0,"No",0,"No",0,"No",0,"No",0,"No",0,"No",0,"No",0,NA
"CNOT11",11182,"55571",-1.323,0,1,"Absent",0.973,0.973,"0","0","0",0.5,"Missing",0.5,"No",0.5,"Missing",0.5,"No",0.5,"Missing",0.5,"No",0.5,"Missing",0.5,"No",0.5,"Missing",0.5,NA
"CNOT2",9195,"4848",1.741,0,1,"Present",1,1,"0","0","0",0,"No",0,"No",0,"No",0,"No",0,"No",0,"No",0,"No",0,"No",0,"No",0,NA
"CNOT3",9196,"4849",-0.104,0,1,"Present",1,1,"0","0","0",0,"No",0,"No",0,"No",0,"No",0,"No",0,"No",0,"No",0,"No",0,"No",0,NA
"CNOT4",9197,"4850",0.905,0,1,"Present",1,1,"0","0","0",0,"No",0,"No",0,"No",0,"No",0,"No",0,"No",0,"No",0,"No",0,"No",0,NA
"CNOT6",12069,"57472",1.467,0,1,"Present",1.155,1.155,"0","0","0",0,"No",0,"No",0,"No",0,"No",0,"No",0,"No",0,"No",0,"No",0,"No",0,NA
"CNOT6L",5023,"246175",-1.499,0,1,"Present",1,1,"0","0","0",0.5,"No",0.5,"No",0.5,"No",0.5,"No",0.5,"No",0.5,"No",0.5,"No",0.5,"No",0.5,"No",0.5,NA
"CNOT7",6701,"29883",-0.411,0,1,"Present",1,1,"0","0","0",0,"No",0,"No",0,"No",0,"No",0,"No",0,"No",0,"No",0,"No",0,"No",0,NA
"CNOT8",17459,"9337",0.442,0,1,"Present",1,1,"0","0","0",0,"No",0,"No",0,"No",0,"No",0,"No",0,"No",0,"No",0,"No",0,"No",0,NA
"CNP",1831,"1267",-1.062,1,1,"Absent",1,1,"0","HitbyNA","HitbyCSA",0.5,"Missing",0.5,"No",0.5,"Missing",0.5,"No",0.5,"Missing",0.5,"No",0.5,"Missing",0.5,"No",0.5,"Missing",0.5,NA
"CNPPD1",5831,"27013",-0.238,0,1,"Absent",1,1,"0","0","0",0,"Missing",0,"No",0,"Missing",0,"No",0,"Missing",0,"No",0,"Missing",0,"No",0,"Missing",0,NA
"CNPY2",314,"10330",-0.523,0,1,"Absent",0.972,0.972,"0","0","0",0,"Missing",0,"No",0,"Missing",0,"No",0,"Missing",0,"No",0,"Missing",0,"No",0,"Missing",0,NA
"CNPY3",633,"10695",-0.841,0,1,"Absent",1,1,"0","0","0",0,"Missing",0,"No",0,"Missing",0,"No",0,"Missing",0,"No",0,"Missing",0,"No",0,"Missing",0,NA
"CNPY4",4999,"245812",0.31,0,1,"Absent",1,1,"0","0","0",0,"Missing",0,"No",0,"Missing",0,"No",0,"Missing",0,"No",0,"Missing",0,"No",0,"Missing",0,NA
"CNR1",1835,"1268",1.099,0,1,"Present",1,1,"0","0","0",0,"No",0,"No",0,"No",0,"No",0,"No",0,"No",0,"No",0,"No",0,"No",0,NA
"CNR2",1840,"1269",2.284,0,0,"Present",1.155,1.155,"0","0","0",0,"No",0,"No",0,"No",0,"No",0,"No",0,"No",0,"No",0,"No",0,"No",0,NA
"CNRIP1",5401,"25927",-0.529,0,1,"Absent",1,1,"0","0","0",0,"Missing",0,"No",0,"Missing",0,"No",0,"Missing",0,"No",0,"Missing",0,"No",0,"Missing",0,NA
"CNST",3201,"163882",-0.441,0,1,"Absent",0.972,0.972,"0","0","0",0,"Missing",0,"No",0,"Missing",0,"No",0,"Missing",0,"No",0,"Missing",0,"No",0,"Missing",0,NA
"CNTD1",1730,"124817",0.053,0,1,"Absent",1,1,"0","0","0",0,"Missing",0,"No",0,"Missing",0,"No",0,"Missing",0,"No",0,"Missing",0,"No",0,"Missing",0,NA
"CNTD2",15012,"79935",-0.066,0,1,"Absent",1,1,"0","0","0",0,"Missing",0,"No",0,"Missing",0,"No",0,"Missing",0,"No",0,"Missing",0,"No",0,"Missing",0,NA
"CNTF",1844,"1270",0.226,0,0,"Present",1,1,"0","0","0",0,"No",0,"No",0,"Yes",0,"No",0,"Yes",0,"No",0,"Yes",0,"No",0,"Yes",0,NA
"CNTFR",1855,"1271",-1.019,0,1,"Present",1,1,"0","0","0",0.5,"No",0.5,"No",0.5,"Yes",1,"No",1,"Yes",1,"No",1,"Yes",1,"No",1,"Yes",1,"Cytokine-cytokine receptor interaction ; Jak-STAT signaling pathway"
"CNTLN",10655,"54875",-1.897,2,1,"Absent",1,1,"0","HitbyNA","HitbyCSA",0.5,"Missing",0.5,"No",0.5,"Missing",0.5,"No",0.5,"Missing",0.5,"No",0.5,"Missing",0.5,"No",0.5,"Missing",0.5,NA
"CNTN1",1857,"1272",1.002,0,1,"Present",1,1,"0","0","0",0,"No",0,"No",0,"No",0,"No",0,"Yes",0,"No",0,"Yes",0,"No",0,"Yes",0,NA
"CNTN2",13830,"6900",-2.347,11,1,"Present",1.155,1.155,"HitbyZS","HitbyNA","HitbyCSA",1,"No",0.5,"Yes",1,"No",0.5,"Yes",1,"Yes",1,"Yes",1,"Yes",1,"Yes",1,"Yes",1,"Cell adhesion molecules (CAMs)"
"CNTN3",9423,"5067",-1.072,0,1,"Absent",1,1,"0","0","0",0.5,"Missing",0.5,"No",0.5,"Missing",0.5,"No",0.5,"Missing",0.5,"No",0.5,"Missing",0.5,"No",0.5,"Missing",0.5,NA
"CNTN4",2846,"152330",-1.164,1,1,"Absent",1,1,"0","HitbyNA","HitbyCSA",0.5,"Missing",0.5,"No",0.5,"Missing",0.5,"No",0.5,"Missing",0.5,"No",0.5,"Missing",0.5,"No",0.5,"Missing",0.5,NA
"CNTN5",10296,"53942",-0.675,0,1,"Absent",0.404,0.404,"0","0","0",0,"Missing",0,"No",0,"Missing",0,"No",0,"Missing",0,"No",0,"Missing",0,"No",0,"Missing",0,NA
"CNTN6",5967,"27255",-0.137,0,1,"Absent",1,1,"0","0","0",0,"Missing",0,"No",0,"Missing",0,"No",0,"Missing",0,"No",0,"Missing",0,"No",0,"Missing",0,NA
"CNTNAP1",16365,"8506",-0.025,0,1,"Present",1,1,"0","0","0",0,"No",0,"No",0,"No",0,"No",0,"Yes",0,"No",0,"Yes",0,"No",0,"Yes",0,NA
"CNTNAP2",5502,"26047",-1.465,3,1,"Present",1,1,"0","HitbyNA","HitbyCSA",0.5,"No",0.5,"No",0.5,"No",0.5,"No",0.5,"Yes",1,"No",1,"Yes",1,"No",1,"Yes",1,"Cell adhesion molecules (CAMs)"
"CNTNAP3",15013,"79937",-3.481,2,1,"Absent",0.589,0.589,"HitbyZS","HitbyNA","HitbyCSA",1,"Missing",0.5,"No",0.5,"Missing",0.5,"No",0.5,"Missing",0.5,"No",0.5,"Missing",0.5,"No",0.5,"Missing",0.5,NA
"CNTNAP4",16451,"85445",0.733,0,1,"Absent",1,1,"0","0","0",0,"Missing",0,"No",0,"Missing",0,"No",0,"Missing",0,"No",0,"Missing",0,"No",0,"Missing",0,NA
"CNTNAP5",1972,"129684",-2.324,0,1,"Absent",0.776,0.776,"HitbyZS","HitbyNA","HitbyCSA",1,"Missing",0.5,"No",0.5,"Missing",0.5,"No",0.5,"Missing",0.5,"No",0.5,"Missing",0.5,"No",0.5,"Missing",0.5,NA
"CNTRL",921,"11064",-0.708,0,1,"Absent",1,1,"0","0","0",0,"Missing",0,"No",0,"Missing",0,"No",0,"Missing",0,"No",0,"Missing",0,"No",0,"Missing",0,NA
"CNTROB",1436,"116840",0.748,0,1,"Absent",1,1,"0","0","0",0,"Missing",0,"No",0,"Missing",0,"No",0,"Missing",0,"No",0,"Missing",0,"No",0,"Missing",0,NA
"COA1",11328,"55744",-1.344,1,1,"Absent",1,1,"0","HitbyNA","HitbyCSA",0.5,"Missing",0.5,"No",0.5,"Missing",0.5,"No",0.5,"Missing",0.5,"No",0.5,"Missing",0.5,"No",0.5,"Missing",0.5,NA
"COA3",6506,"28958",-1.652,0,1,"Absent",1.155,1.155,"0","0","0",0.5,"Missing",0.5,"No",0.5,"Missing",0.5,"No",0.5,"Missing",0.5,"No",0.5,"Missing",0.5,"No",0.5,"Missing",0.5,NA
"COA4",9733,"51287",-0.437,0,1,"Absent",1,1,"0","0","0",0,"Missing",0,"No",0,"Missing",0,"No",0,"Missing",0,"No",0,"Missing",0,"No",0,"Missing",0,NA
"COA5",9267,"493753",1.376,0,1,"Absent",1.155,1.155,"0","0","0",0,"Missing",0,"No",0,"Missing",0,"No",0,"Missing",0,"No",0,"Missing",0,"No",0,"Missing",0,NA
"COA6",8082,"388753",1.054,0,1,"Absent",1,1,"0","0","0",0,"Missing",0,"No",0,"Missing",0,"No",0,"Missing",0,"No",0,"Missing",0,"No",0,"Missing",0,NA
"COA7",13429,"65260",1.361,0,1,"Absent",1.155,1.155,"0","0","0",0,"Missing",0,"No",0,"Missing",0,"No",0,"Missing",0,"No",0,"Missing",0,"No",0,"Missing",0,NA
"COASY",15221,"80347",-0.341,0,1,"Present",1,1,"0","0","0",0,"No",0,"No",0,"No",0,"No",0,"No",0,"No",0,"No",0,"No",0,"No",0,NA
"COBL",4616,"23242",0.669,0,0,"Absent",1.155,1.155,"0","0","0",0,"Missing",0,"No",0,"Missing",0,"No",0,"Missing",0,"No",0,"Missing",0,"No",0,"Missing",0,NA
"COBLL1",4287,"22837",-0.189,0,1,"Absent",1,1,"0","0","0",0,"Missing",0,"No",0,"Missing",0,"No",0,"Missing",0,"No",0,"Missing",0,"No",0,"Missing",0,NA
"COCH",3318,"1690",0.241,0,1,"Absent",1,1,"0","0","0",0,"Missing",0,"No",0,"Missing",0,"No",0,"Missing",0,"No",0,"Missing",0,"No",0,"Missing",0,NA
"COG1",17521,"9382",0.13,0,1,"Absent",1,1,"0","0","0",0,"Missing",0,"No",0,"Missing",0,"No",0,"Missing",0,"No",0,"Missing",0,"No",0,"Missing",0,NA
"COG2",4260,"22796",0.442,0,1,"Absent",1,1,"0","0","0",0,"Missing",0,"No",0,"Missing",0,"No",0,"Missing",0,"No",0,"Missing",0,"No",0,"Missing",0,NA
"COG3",15625,"83548",1.161,0,1,"Absent",1,1,"0","0","0",0,"Missing",0,"No",0,"Missing",0,"No",0,"Missing",0,"No",0,"Missing",0,"No",0,"Missing",0,NA
"COG4",5322,"25839",-0.42,0,1,"Absent",1,1,"0","0","0",0,"Missing",0,"No",0,"Missing",0,"No",0,"Missing",0,"No",0,"Missing",0,"No",0,"Missing",0,NA
"COG5",425,"10466",-0.617,0,1,"Absent",1.155,1.155,"0","0","0",0,"Missing",0,"No",0,"Missing",0,"No",0,"Missing",0,"No",0,"Missing",0,"No",0,"Missing",0,NA
"COG6",12096,"57511",-1.082,0,1,"Absent",1,1,"0","0","0",0.5,"Missing",0.5,"No",0.5,"Missing",0.5,"No",0.5,"Missing",0.5,"No",0.5,"Missing",0.5,"No",0.5,"Missing",0.5,NA
"COG7",17245,"91949",-0.403,0,1,"Absent",1,1,"0","0","0",0,"Missing",0,"No",0,"Missing",0,"No",0,"Missing",0,"No",0,"Missing",0,"No",0,"Missing",0,NA
"COG8",16008,"84342",-0.455,0,1,"Absent",1,1,"0","0","0",0,"Missing",0,"No",0,"Missing",0,"No",0,"Missing",0,"No",0,"Missing",0,"No",0,"Missing",0,NA
"COIL",15407,"8161",-0.654,0,1,"Absent",0.972,0.972,"0","0","0",0,"Missing",0,"No",0,"Missing",0,"No",0,"Missing",0,"No",0,"Missing",0,"No",0,"Missing",0,NA
"COL10A1",1986,"1300",-1.193,1,0,"Absent",0.906,0.906,"0","HitbyNA","HitbyCSA",0.5,"Missing",0.5,"No",0.5,"Missing",0.5,"No",0.5,"Missing",0.5,"No",0.5,"Missing",0.5,"No",0.5,"Missing",0.5,NA
"COL11A1",1991,"1301",1.337,0,1,"Present",1,1,"0","0","0",0,"No",0,"No",0,"Yes",0,"No",0,"Yes",0,"No",0,"Yes",0,"No",0,"Yes",0,NA
"COL11A2",1996,"1302",1.398,0,1,"Present",1,1,"0","0","0",0,"No",0,"No",0,"Yes",0,"No",0,"Yes",0,"No",0,"Yes",0,"No",0,"Yes",0,NA
"COL12A1",1998,"1303",1.1,0,1,"Present",1,1,"0","0","0",0,"No",0,"No",0,"No",0,"No",0,"No",0,"No",0,"No",0,"No",0,"No",0,NA
"COL13A1",2004,"1305",-0.638,0,1,"Absent",1,1,"0","0","0",0,"Missing",0,"No",0,"Missing",0,"No",0,"Missing",0,"No",0,"Missing",0,"No",0,"Missing",0,NA
"COL14A1",14223,"7373",-0.365,0,0,"Present",1,1,"0","0","0",0,"No",0,"No",0,"No",0,"No",0,"No",0,"No",0,"No",0,"No",0,"No",0,NA
"COL15A1",2013,"1306",-0.414,0,0,"Present",1,1,"0","0","0",0,"No",0,"No",0,"No",0,"No",0,"No",0,"No",0,"No",0,"No",0,"No",0,NA
"COL16A1",2016,"1307",-0.932,0,1,"Absent",0.525,0.525,"0","0","0",0,"Missing",0,"No",0,"Missing",0,"No",0,"Missing",0,"No",0,"Missing",0,"No",0,"Missing",0,NA
"COL17A1",2020,"1308",-2.876,3,1,"Present",1.155,1.155,"HitbyZS","HitbyNA","HitbyCSA",1,"No",0.5,"No",0.5,"No",0.5,"No",0.5,"No",0.5,"No",0.5,"No",0.5,"No",0.5,"No",0.5,NA
"COL18A1",15276,"80781",-0.735,0,1,"Present",1,1,"0","0","0",0,"No",0,"No",0,"No",0,"No",0,"No",0,"No",0,"No",0,"No",0,"No",0,NA
"COL19A1",2030,"1310",1.588,0,1,"Absent",1.155,1.155,"0","0","0",0,"Missing",0,"No",0,"Missing",0,"No",0,"Missing",0,"No",0,"Missing",0,"No",0,"Missing",0,NA
"COL1A1",1880,"1277",-0.878,0,1,"Present",1,1,"0","0","0",0,"No",0,"No",0,"Yes",0,"No",0,"Yes",0,"No",0,"Yes",0,"No",0,"Yes",0,NA
"COL1A2",1887,"1278",-4.07,4,1,"Present",1.155,1.155,"HitbyZS","HitbyNA","HitbyCSA",1,"No",0.5,"No",0.5,"Yes",1,"No",1,"Yes",1,"No",1,"Yes",1,"No",1,"Yes",1,"Focal adhesion ; Amoebiasis ; ECM-receptor interaction"
"COL20A1",12192,"57642",-3.08,0,0,"Absent",1.155,1.155,"HitbyZS","HitbyNA","HitbyCSA",0.5,"Missing",0.5,"No",0.5,"Missing",0.5,"No",0.5,"Missing",0.5,"No",0.5,"Missing",0.5,"No",0.5,"Missing",0.5,NA
"COL21A1",15397,"81578",-0.139,0,0,"Absent",1,1,"0","0","0",0,"Missing",0,"No",0,"Missing",0,"No",0,"Missing",0,"No",0,"Missing",0,"No",0,"Missing",0,NA
"COL22A1",3320,"169044",-0.19,0,1,"Absent",1,1,"0","0","0",0,"Missing",0,"No",0,"Missing",0,"No",0,"Missing",0,"No",0,"Missing",0,"No",0,"Missing",0,NA
"COL23A1",17168,"91522",-2.24,0,1,"Absent",1,1,"HitbyZS","HitbyNA","HitbyCSA",1,"Missing",0.5,"No",0.5,"Missing",0.5,"No",0.5,"Missing",0.5,"No",0.5,"Missing",0.5,"No",0.5,"Missing",0.5,NA
"COL24A1",5177,"255631",1.031,0,1,"Absent",1,1,"0","0","0",0,"Missing",0,"No",0,"Missing",0,"No",0,"Missing",0,"No",0,"Missing",0,"No",0,"Missing",0,NA
"COL25A1",16097,"84570",0.146,0,1,"Absent",1,1,"0","0","0",0,"Missing",0,"No",0,"Missing",0,"No",0,"Missing",0,"No",0,"Missing",0,"No",0,"Missing",0,NA
"COL26A1",2187,"136227",0.179,0,0,"Absent",1,1,"0","0","0",0,"Missing",0,"No",0,"Missing",0,"No",0,"Missing",0,"No",0,"Missing",0,"No",0,"Missing",0,NA
"COL27A1",16397,"85301",1.716,0,1,"Absent",1.155,1.155,"0","0","0",0,"Missing",0,"No",0,"Missing",0,"No",0,"Missing",0,"No",0,"Missing",0,"No",0,"Missing",0,NA
"COL28A1",7276,"340267",-0.172,0,1,"Absent",1,1,"0","0","0",0,"Missing",0,"No",0,"Missing",0,"No",0,"Missing",0,"No",0,"Missing",0,"No",0,"Missing",0,NA
"COL2A1",1894,"1280",0.44,0,1,"Present",1,1,"0","0","0",0,"No",0,"No",0,"Yes",0,"No",0,"Yes",0,"No",0,"Yes",0,"No",0,"Yes",0,NA
"COL3A1",1898,"1281",-0.019,0,1,"Present",1,1,"0","0","0",0,"No",0,"No",0,"Yes",0,"No",0,"Yes",0,"No",0,"Yes",0,"No",0,"Yes",0,NA
"COL4A1",1901,"1282",0.981,0,1,"Present",1,1,"0","0","0",0,"No",0,"No",0,"Yes",0,"No",0,"Yes",0,"No",0,"Yes",0,"No",0,"Yes",0,NA
"COL4A2",1918,"1284",-1.313,0,1,"Present",1.155,1.155,"0","0","0",0.5,"No",0.5,"No",0.5,"Yes",1,"No",1,"Yes",1,"No",1,"Yes",1,"No",1,"Yes",1,"Focal adhesion ; Amoebiasis ; ECM-receptor interaction"
"COL4A3",1924,"1285",-1.033,0,1,"Absent",1,1,"0","0","0",0.5,"Missing",0.5,"No",0.5,"Missing",0.5,"No",0.5,"Missing",0.5,"No",0.5,"Missing",0.5,"No",0.5,"Missing",0.5,NA
"COL4A3BP",83,"10087",0.642,0,1,"Absent",1,1,"0","0","0",0,"Missing",0,"No",0,"Missing",0,"No",0,"Missing",0,"No",0,"Missing",0,"No",0,"Missing",0,NA
"COL4A4",1926,"1286",2.244,0,0,"Present",1,1,"0","0","0",0,"No",0,"No",0,"Yes",0,"No",0,"Yes",0,"No",0,"Yes",0,"No",0,"Yes",0,NA
"COL4A5",1933,"1287",0,0,1,"Present",1,1,"0","0","0",0,"No",0,"No",0,"Yes",0,"No",0,"Yes",0,"No",0,"Yes",0,"No",0,"Yes",0,NA
"COL4A6",1935,"1288",0.343,0,1,"Present",1,1,"0","0","0",0,"No",0,"No",0,"Yes",0,"No",0,"Yes",0,"No",0,"Yes",0,"No",0,"Yes",0,NA
"COL5A1",1947,"1289",0.714,0,1,"Present",1,1,"0","0","0",0,"No",0,"No",0,"Yes",0,"No",0,"Yes",0,"No",0,"Yes",0,"No",0,"Yes",0,NA
"COL5A2",1951,"1290",0.184,0,1,"Present",1,1,"0","0","0",0,"No",0,"No",0,"Yes",0,"No",0,"Yes",0,"No",0,"Yes",0,"No",0,"Yes",0,NA
"COL5A3",9390,"50509",0.976,0,1,"Present",1,1,"0","0","0",0,"No",0,"No",0,"Yes",0,"No",0,"Yes",0,"No",0,"Yes",0,"No",0,"Yes",0,NA
"COL6A1",1954,"1291",-1.105,1,1,"Present",1,1,"0","HitbyNA","HitbyCSA",0.5,"No",0.5,"No",0.5,"Yes",1,"No",1,"Yes",1,"No",1,"Yes",1,"No",1,"Yes",1,"Focal adhesion ; ECM-receptor interaction"
"COL6A2",1956,"1292",1.526,0,1,"Present",1,1,"0","0","0",0,"No",0,"No",0,"Yes",0,"No",0,"Yes",0,"No",0,"Yes",0,"No",0,"Yes",0,NA
"COL6A3",1958,"1293",0.051,0,1,"Present",1,1,"0","0","0",0,"No",0,"No",0,"Yes",0,"No",0,"Yes",0,"No",0,"Yes",0,"No",0,"Yes",0,NA
"COL6A5",5193,"256076",-0.335,0,1,"Absent",0.903,0.903,"0","0","0",0,"Missing",0,"No",0,"Missing",0,"No",0,"Missing",0,"No",0,"Missing",0,"No",0,"Missing",0,NA
"COL7A1",1960,"1294",-0.101,0,1,"Absent",1,1,"0","0","0",0,"Missing",0,"No",0,"Missing",0,"No",0,"Missing",0,"No",0,"Missing",0,"No",0,"Missing",0,NA
"COL8A1",1964,"1295",0.09,0,1,"Absent",1,1,"0","0","0",0,"Missing",0,"No",0,"Missing",0,"No",0,"Missing",0,"No",0,"Missing",0,"No",0,"Missing",0,NA
"COL8A2",1969,"1296",-1.823,0,1,"Absent",1.155,1.155,"0","0","0",0.5,"Missing",0.5,"No",0.5,"Missing",0.5,"No",0.5,"Missing",0.5,"No",0.5,"Missing",0.5,"No",0.5,"Missing",0.5,NA
"COL9A1",1974,"1297",-0.397,0,0,"Present",1,1,"0","0","0",0,"No",0,"No",0,"No",0,"No",0,"No",0,"No",0,"No",0,"No",0,"No",0,NA
"COL9A2",1976,"1298",1.494,0,1,"Present",1,1,"0","0","0",0,"No",0,"No",0,"No",0,"No",0,"No",0,"No",0,"No",0,"No",0,"No",0,NA
"COL9A3",1983,"1299",-0.374,0,0,"Present",1,1,"0","0","0",0,"No",0,"No",0,"No",0,"No",0,"No",0,"No",0,"No",0,"No",0,"No",0,NA
"COLCA1",8375,"399948",0.438,0,1,"Absent",1,1,"0","0","0",0,"Missing",0,"No",0,"Missing",0,"No",0,"Missing",0,"No",0,"Missing",0,"No",0,"Missing",0,NA
"COLEC10",534,"10584",-0.667,0,1,"Absent",1,1,"0","0","0",0,"Missing",0,"No",0,"Missing",0,"No",0,"Missing",0,"No",0,"Missing",0,"No",0,"Missing",0,NA
"COLEC11",14539,"78989",0.321,0,1,"Present",1,1,"0","0","0",0,"No",0,"No",0,"Yes",0,"No",0,"Yes",0,"No",0,"Yes",0,"No",0,"Yes",0,NA
"COLEC12",15322,"81035",0.744,0,1,"Present",1,1,"0","0","0",0,"No",0,"No",0,"Yes",0,"No",0,"Yes",0,"No",0,"Yes",0,"No",0,"Yes",0,NA
"COLGALT1",14826,"79709",0.227,0,1,"Present",1,1,"0","0","0",0,"Yes",0,"No",0,"Yes",0,"No",0,"Yes",0,"No",0,"Yes",0,"No",0,"Yes",0,NA
"COLGALT2",4515,"23127",0.084,0,1,"Present",1,1,"0","0","0",0,"Yes",0,"No",0,"Yes",0,"No",0,"Yes",0,"No",0,"Yes",0,"No",0,"Yes",0,NA
"COLQ",15533,"8292",0.801,0,1,"Absent",1,1,"0","0","0",0,"Missing",0,"No",0,"Missing",0,"No",0,"Missing",0,"No",0,"Missing",0,"No",0,"Missing",0,NA
"COMMD1",2764,"150684",-0.248,0,1,"Absent",1,1,"0","0","0",0,"Missing",0,"No",0,"Missing",0,"No",0,"Missing",0,"No",0,"Missing",0,"No",0,"Missing",0,NA
"COMMD10",9823,"51397",1.142,0,1,"Absent",1,1,"0","0","0",0,"Missing",0,"No",0,"Missing",0,"No",0,"Missing",0,"No",0,"Missing",0,"No",0,"Missing",0,NA
"COMMD2",9600,"51122",-1.921,0,1,"Absent",0.404,0.404,"0","0","0",0.5,"Missing",0.5,"No",0.5,"Missing",0.5,"No",0.5,"Missing",0.5,"No",0.5,"Missing",0.5,"No",0.5,"Missing",0.5,NA
"COMMD3",4751,"23412",-1.324,0,1,"Absent",1,1,"0","0","0",0.5,"Missing",0.5,"No",0.5,"Missing",0.5,"No",0.5,"Missing",0.5,"No",0.5,"Missing",0.5,"No",0.5,"Missing",0.5,NA
"COMMD4",10712,"54939",0.086,0,1,"Absent",1,1,"0","0","0",0,"Missing",0,"No",0,"Missing",0,"No",0,"Missing",0,"No",0,"Missing",0,"No",0,"Missing",0,NA
"COMMD5",6537,"28991",-0.761,0,1,"Absent",1,1,"0","0","0",0,"Missing",0,"No",0,"Missing",0,"No",0,"Missing",0,"No",0,"Missing",0,"No",0,"Missing",0,NA
"COMMD6",3349,"170622",0.009,0,1,"Absent",1,1,"0","0","0",0,"Missing",0,"No",0,"Missing",0,"No",0,"Missing",0,"No",0,"Missing",0,"No",0,"Missing",0,NA
"COMMD7",2724,"149951",0.02,0,1,"Absent",1,1,"0","0","0",0,"Missing",0,"No",0,"Missing",0,"No",0,"Missing",0,"No",0,"Missing",0,"No",0,"Missing",0,NA
"COMMD8",10723,"54951",-0.299,0,1,"Absent",0.134,0.134,"0","0","0",0,"Missing",0,"No",0,"Missing",0,"No",0,"Missing",0,"No",0,"Missing",0,"No",0,"Missing",0,NA
"COMMD9",6584,"29099",2.198,0,1,"Absent",1.155,1.155,"0","0","0",0,"Missing",0,"No",0,"Missing",0,"No",0,"Missing",0,"No",0,"Missing",0,"No",0,"Missing",0,NA
"COMP",2034,"1311",0.734,0,1,"Present",1,1,"0","0","0",0,"No",0,"No",0,"Yes",0,"No",0,"Yes",0,"No",0,"Yes",0,"No",0,"Yes",0,NA
"COMT",2038,"1312",1.753,0,1,"Present",1.155,1.155,"0","0","0",0,"No",0,"No",0,"No",0,"No",0,"No",0,"No",0,"No",0,"No",0,"No",0,NA
"COMTD1",1520,"118881",0.314,0,1,"Absent",1,1,"0","0","0",0,"Missing",0,"No",0,"Missing",0,"No",0,"Missing",0,"No",0,"Missing",0,"No",0,"Missing",0,NA
"COPA",2042,"1314",-0.433,0,1,"Absent",1,1,"0","0","0",0,"Missing",0,"No",0,"Missing",0,"No",0,"Missing",0,"No",0,"Missing",0,"No",0,"Missing",0,NA
"COPB1",2047,"1315",-3.501,11,1,"Absent",0.346,0.346,"HitbyZS","HitbyNA","HitbyCSA",1,"Missing",0.5,"No",0.5,"Missing",0.5,"No",0.5,"Missing",0.5,"No",0.5,"Missing",0.5,"No",0.5,"Missing",0.5,NA
"COPB2",17377,"9276",-0.725,0,1,"Absent",1,1,"0","0","0",0,"Missing",0,"No",0,"Missing",0,"No",0,"Missing",0,"No",0,"Missing",0,"No",0,"Missing",0,NA
"COPE",1163,"11316",0.668,0,1,"Absent",1,1,"0","0","0",0,"Missing",0,"No",0,"Missing",0,"No",0,"Missing",0,"No",0,"Missing",0,"No",0,"Missing",0,NA
"COPG1",4274,"22820",-0.905,0,1,"Absent",NA,0.155,"0","0","0",0,"Missing",0,"No",0,"Missing",0,"No",0,"Missing",0,"No",0,"Missing",0,"No",0,"Missing",0,NA
"COPG2",5805,"26958",1.307,0,1,"Absent",1,1,"0","0","0",0,"Missing",0,"No",0,"Missing",0,"No",0,"Missing",0,"No",0,"Missing",0,"No",0,"Missing",0,NA
"COPRS",11096,"55352",1.43,0,1,"Absent",1,1,"0","0","0",0,"Missing",0,"No",0,"Missing",0,"No",0,"Missing",0,"No",0,"Missing",0,"No",0,"Missing",0,NA
"COPS2",17433,"9318",-1.959,13,1,"Absent",0.957,0.957,"0","HitbyNA","HitbyCSA",0.5,"Missing",0.5,"Yes",1,"Missing",0.5,"Yes",1,"Missing",0.5,"Yes",1,"Missing",0.5,"Yes",1,"Missing",0.5,NA
"COPS3",16409,"8533",1.553,0,1,"Absent",1.155,1.155,"0","0","0",0,"Missing",0,"No",0,"Missing",0,"No",0,"Missing",0,"No",0,"Missing",0,"No",0,"Missing",0,NA
"COPS4",9615,"51138",0.31,0,1,"Absent",1,1,"0","0","0",0,"Missing",0,"No",0,"Missing",0,"No",0,"Missing",0,"No",0,"Missing",0,"No",0,"Missing",0,NA
"COPS5",857,"10987",-1.853,142,1,"Absent",0.841,0.841,"0","HitbyNA","HitbyCSA",0.5,"Missing",0.5,"Yes",1,"Missing",0.5,"Yes",1,"Missing",0.5,"Yes",1,"Missing",0.5,"Yes",1,"Missing",0.5,NA
"COPS6",852,"10980",-1.741,56,1,"Absent",1.155,1.155,"0","HitbyNA","HitbyCSA",0.5,"Missing",0.5,"No",0.5,"Missing",0.5,"No",0.5,"Missing",0.5,"Yes",1,"Missing",0.5,"Yes",1,"Missing",0.5,NA
