"","EntrezID","GeneSymbol","GeneMappingID","ConfidenceCategory","Group","Pathway","Allnet.count","Ntwrk.all","NtwrkCount.Pyrimidine metabolism","Ntwrk.Pyrimidine metabolism","NtwrkCount.Purine metabolism","Ntwrk.Purine metabolism","NtwrkCount.NA","Ntwrk.NA","Total_Path_Hits.net.count"
"94",6632,"SNRPD1",43,"HighConf","Novel","Spliceosome",29,"SF3B2, SNRPG, SF3B1, SNRNP200, PATL1, SNRPE, SF3A1, SF3B6, SF3B5, NUP62, POLR2G, POLR2D, POLR2K, POLR2B, HNRNPA3, PHF5A, SRSF3, NUP107, CPSF7, PABPN1, NFX1, SNRPC, LSM5, SNRPB, SF3A3, SNRPD3, MAGOH, SNRPA1, SF3B3",0,NA,4,"POLR2K, POLR2G, POLR2D, POLR2B",0,"",4
"95",6634,"SNRPD3",41,"HighConf","Novel","Spliceosome",31,"SF3A3, SNRPD1, SF3B2, SNRPG, SF3B1, SNRNP200, PATL1, SNRPE, SF3A1, SF3B6, SF3B5, NUP62, POLR2G, POLR2D, POLR2K, POLR2B, HNRNPA3, PHF5A, SRSF3, NUP107, CPSF7, PABPN1, NFX1, SNRPC, LSM5, SF3B3, PLRG1, SNRPA1, SNRPB, LSM10, MAGOH",0,NA,4,"POLR2K, POLR2G, POLR2D, POLR2B",0,"",4
"96",6635,"SNRPE",49,"HighConf","Novel","Spliceosome",28,"SF3A1, SF3B6, SF3B5, NUP62, POLR2G, POLR2D, POLR2K, POLR2B, HNRNPA3, PHF5A, SRSF3, NUP107, CPSF7, PABPN1, NFX1, SNRPC, SNRPD3, SNRNP200, SNRPG, SF3A3, LSM10, SNRPD1, SF3B3, SNRPB, SF3B2, SNRPA1, SF3B1, MAGOH",0,NA,4,"POLR2K, POLR2G, POLR2D, POLR2B",0,"",4
"97",6637,"SNRPG",45,"MedConf","Novel","Spliceosome",29,"SF3B1, SNRNP200, SNRPE, SF3A1, SF3B6, SF3B5, NUP62, POLR2G, POLR2D, POLR2K, POLR2B, HNRNPA3, PHF5A, SRSF3, NUP107, CPSF7, PABPN1, NFX1, SNRPC, TACC1, SF3B3, SNRPD1, LSM10, MAGOH, SNRPA1, SNRPD3, SF3B2, SNRPB, SF3A3",0,NA,4,"POLR2K, POLR2G, POLR2D, POLR2B",0,"",4
"98",6651,"SON",99,"HighConf","Novel",NA,1,"MAGOH",0,NA,0,NA,0,"",0
"99",147841,"SPC24",110,"MedConf","Novel",NA,5,"RAD21, SMC3, XPO1, PLK1, NUP107",0,NA,0,NA,0,"",0
"100",6730,"SRP68",54,"HighConf","Novel","Protein export",6,"RPN2, SEC11A, RPSA, RPL26, RPS28, RPS3A",0,NA,0,NA,0,"",0
"101",6428,"SRSF3",69,"MedConf","Novel","Spliceosome",27,"NUP107, CPSF7, PABPN1, NFX1, SNRPB, POLR2D, SF3B1, SNRPG, SF3A1, SNRPE, MAGOH, SF3B6, POLR2G, SF3B3, NXF1, HNRNPA3, SF3B2, NUP62, PHF5A, SF3A3, SNRNP200, SF3B5, SNRPA1, SNRPD1, POLR2B, SNRPD3, POLR2K",0,NA,4,"POLR2K, POLR2G, POLR2D, POLR2B",0,"",4
"102",6767,"ST13",87,"MedConf","Novel",NA,1,"HSPA8",0,NA,0,NA,0,"",0
"103",6829,"SUPT5H",26,"MedConf","Novel",NA,5,"POLR2G, POLR2D, POLR2K, POLR2B, CDK9",0,NA,4,"POLR2K, POLR2G, POLR2D, POLR2B",0,"",4
"104",6867,"TACC1",108,"HighConf","Novel",NA,1,"SNRPG",0,NA,0,NA,0,"",0
"105",6915,"TBXA2R",94,"HighConf","Novel",NA,1,"PSMA7",0,NA,0,NA,0,"",0
"106",22974,"TPX2",56,"MedConf","Novel",NA,2,"KPNB1, PLK1",0,NA,0,NA,0,"",0
"107",7247,"TSN",97,"MedConf","Novel",NA,1,"MAGOH",0,NA,0,NA,0,"",0
"108",11065,"UBE2C",34,"MedConf","Novel",NA,18,"PLK1, PSMA4, PSMC4, PSMB1, PSMC1, PSMD2, PSMC5, PSMB4, PSMB2, PSMA7, PSMB6, PSMD14, PSMD3, PSMD11, PSMD6, PSMA6, PSMA3, PSMA1",0,NA,0,NA,0,"",0
"109",134510,"UBLCP1",90,"MedConf","Novel",NA,9,"PSMC4, PSMD3, PSMC5, PSMB2, PSMA6, PSMD2, PSMD6, PSMD11, PSMC1",0,NA,0,NA,0,"",0
"110",7345,"UCHL1",86,"MedConf","Novel",NA,1,"HSPA8",0,NA,0,NA,0,"",0
"111",7371,"UCK2",79,"MedConf","Pyrimidine metabolism","Pyrimidine metabolism",1,"CANT1",0,NA,1,"CANT1",0,"",1
"112",7415,"VCP",2,"HighConf","Novel",NA,3,"PSMA2, PSMB2, HSPA8",0,NA,0,NA,0,"",0
"113",11091,"WDR5",22,"HighConf","Novel",NA,1,"PSMA4",0,NA,0,NA,0,"",0
"114",7465,"WEE1",57,"MedConf","Novel",NA,2,"XPO1, PLK1",0,NA,0,NA,0,"",0
"115",7514,"XPO1",74,"MedConf","Novel","RNA transport, Ribosome biogenesis in eukaryotes",12,"FOXO4, CIITA, SPC24, NUP62, RAD21, FOXO3, NUP107, EIF5A, WEE1, NXF1, PLK1, SMC3",0,NA,0,NA,0,"",0
"116",91603,"ZNF830",23,"MedConf","Novel",NA,1,"SF3B2",0,NA,0,NA,0,"",0
