"","EntrezID","GeneSymbol","ConfidenceCategory","TRIAGEhit","Pathway","InteractingGenes","NetworkGenePathways"
"4569",1840,"DTX1","HighConf","Yes","Notch signaling pathway","RPS27A, NCSTN, UBB, UBC","Notch signaling pathway (1), Ribosome (1), Mitophagy - animal (1)"
"4585",11221,"DUSP10","MedConf","Yes","MAPK signaling pathway","MAPK13","Th1 and Th2 cell differentiation (1), Platelet activation (1), Dopaminergic synapse (1), Th17 cell differentiation (1), GnRH signaling pathway (1), Sphingolipid signaling pathway (1), T cell receptor signaling pathway (1), Adrenergic signaling in cardiomyocytes (1), Fc epsilon RI signaling pathway (1), Relaxin signaling pathway (1), RIG-I-like receptor signaling pathway (1), AGE-RAGE signaling pathway in diabetic complications (1), Osteoclast differentiation (1), NOD-like receptor signaling pathway (1), TNF signaling pathway (1), Leukocyte transendothelial migration (1), Rap1 signaling pathway (1), MAPK signaling pathway (1), Toll-like receptor signaling pathway (1)"
"4603",1847,"DUSP5","HighConf","Yes","MAPK signaling pathway","MAPK13, UBC","Th1 and Th2 cell differentiation (1), Platelet activation (1), Dopaminergic synapse (1), Th17 cell differentiation (1), GnRH signaling pathway (1), Sphingolipid signaling pathway (1), T cell receptor signaling pathway (1), Adrenergic signaling in cardiomyocytes (1), Fc epsilon RI signaling pathway (1), Relaxin signaling pathway (1), RIG-I-like receptor signaling pathway (1), AGE-RAGE signaling pathway in diabetic complications (1), Osteoclast differentiation (1), NOD-like receptor signaling pathway (1), TNF signaling pathway (1), Leukocyte transendothelial migration (1), Rap1 signaling pathway (1), MAPK signaling pathway (1), Toll-like receptor signaling pathway (1)"
"4604",1848,"DUSP6","HighConf","Yes","MAPK signaling pathway","MAPK13","Th1 and Th2 cell differentiation (1), Platelet activation (1), Dopaminergic synapse (1), Th17 cell differentiation (1), GnRH signaling pathway (1), Sphingolipid signaling pathway (1), T cell receptor signaling pathway (1), Adrenergic signaling in cardiomyocytes (1), Fc epsilon RI signaling pathway (1), Relaxin signaling pathway (1), RIG-I-like receptor signaling pathway (1), AGE-RAGE signaling pathway in diabetic complications (1), Osteoclast differentiation (1), NOD-like receptor signaling pathway (1), TNF signaling pathway (1), Leukocyte transendothelial migration (1), Rap1 signaling pathway (1), MAPK signaling pathway (1), Toll-like receptor signaling pathway (1)"
"4605",1849,"DUSP7","MedConf","Yes","MAPK signaling pathway","MAPK13","Th1 and Th2 cell differentiation (1), Platelet activation (1), Dopaminergic synapse (1), Th17 cell differentiation (1), GnRH signaling pathway (1), Sphingolipid signaling pathway (1), T cell receptor signaling pathway (1), Adrenergic signaling in cardiomyocytes (1), Fc epsilon RI signaling pathway (1), Relaxin signaling pathway (1), RIG-I-like receptor signaling pathway (1), AGE-RAGE signaling pathway in diabetic complications (1), Osteoclast differentiation (1), NOD-like receptor signaling pathway (1), TNF signaling pathway (1), Leukocyte transendothelial migration (1), Rap1 signaling pathway (1), MAPK signaling pathway (1), Toll-like receptor signaling pathway (1)"
"4620",1778,"DYNC1H1","MedConf","Yes","Vasopressin-regulated water reabsorption, Phagosome","RILP, CEP152, DYNLL1, DYNC1I2, PRKAR2B, DNAH2, CEP250, CCDC114, DYNC2LI1, CDC5L, YWHAG, DYNLT3, UBC, TUBA4A, DYNC1I1, YARS, DCTN4, DNAI2, SAP30BP, PLK1, TUBA1A","Vasopressin-regulated water reabsorption (5), Phagosome (5), Apoptosis (2), Cell cycle (2), Spliceosome (1), PI3K-Akt signaling pathway (1)"
"4621",1780,"DYNC1I1","MedConf","Yes","Vasopressin-regulated water reabsorption, Phagosome","DCTN4, DYNLT3, DYNC1H1, RILP, DYNLL1, DYNC1I2, DNAH2, CCDC114, DYNC2LI1, TUBA4A, DNAI2, TUBA1A","Phagosome (5), Vasopressin-regulated water reabsorption (5), Apoptosis (2)"
"4622",1781,"DYNC1I2","MedConf","Yes","Vasopressin-regulated water reabsorption, Phagosome","PRKAR2B, CEP250, DYNC2LI1, DYNLT3, TUBA4A, DCTN4, DYNLL1, PLK1, YWHAG, RILP, CEP152, DYNC1H1, UBC, DYNC1I1, TUBA1A","Vasopressin-regulated water reabsorption (5), Phagosome (5), Apoptosis (2), Cell cycle (2), PI3K-Akt signaling pathway (1)"
"4626",51626,"DYNC2LI1","MedConf","Yes","Vasopressin-regulated water reabsorption","DYNC1I2, RILP, DYNC1H1, DCTN4, DYNC1I1, DYNLL1","Vasopressin-regulated water reabsorption (5), Phagosome (4)"
"4627",8655,"DYNLL1","MedConf","Yes","Vasopressin-regulated water reabsorption","DYNC1I2, PRKAR2B, DNAH2, CEP250, CCDC114, DYNC2LI1, TUBA4A, GNB2L1, DYNLT3, DCTN4, TUBA1A, UBC, YWHAG, DYNC1I1, CEP152, DNAI2, RILP, TRAF3IP3, PLK1, DYNC1H1","Phagosome (6), Vasopressin-regulated water reabsorption (5), Apoptosis (2), Cell cycle (2), PI3K-Akt signaling pathway (1)"
"4632",6990,"DYNLT3","MedConf","Yes",NA,"DYNC1H1, DYNLL1, DYNC1I2, DNAH2, CCDC114, DYNC1I1, DNAI2","Vasopressin-regulated water reabsorption (4), Phagosome (3)"
"4646",1871,"E2F3","MedConf","Yes","Cell cycle","ACACB, SUZ12, SPI1, MYBL2, CCND2, CCNE1, MAX, SNW1, RBPJ, SP1, CCND3, KAT2B, MCM8, MSH2","Notch signaling pathway (3), Cell cycle (3), PI3K-Akt signaling pathway (3), Jak-STAT signaling pathway (2), Focal adhesion (2), Thyroid hormone signaling pathway (1), Spliceosome (1), Mitophagy - animal (1), MAPK signaling pathway (1), Th1 and Th2 cell differentiation (1), Platinum drug resistance (1), Osteoclast differentiation (1)"
"4661",10148,"EBI3","MedConf","Yes",NA,"IL27RA, IL12A, STAT1","Jak-STAT signaling pathway (3), Th1 and Th2 cell differentiation (2), Toll-like receptor signaling pathway (2), Th17 cell differentiation (2), RIG-I-like receptor signaling pathway (1), Cytokine-cytokine receptor interaction (1), Thyroid hormone signaling pathway (1), AGE-RAGE signaling pathway in diabetic complications (1), Osteoclast differentiation (1), Chemokine signaling pathway (1), NOD-like receptor signaling pathway (1)"
"4683",1896,"EDA","MedConf","Yes","Cytokine-cytokine receptor interaction","EDAR","Cytokine-cytokine receptor interaction (1)"
"4685",10913,"EDAR","MedConf","Yes","Cytokine-cytokine receptor interaction","EDA","Cytokine-cytokine receptor interaction (1)"
"4696",1906,"EDN1","MedConf","Yes","TNF signaling pathway, AGE-RAGE signaling pathway in diabetic complications, Relaxin signaling pathway","TACR1, TACR3, GNA11, KALRN, AVPR1A, NMS, BDKRB1, KISS1, PROK1, TRH, LTB4R, MLNR, UTS2B, GPR4, XCL2, GNRH2, JUN, GNAO1, ARNT, COPS5, CREB1, DNM1, CXCR4, GNA15, COL1A2, ADRBK1, GNAI3, CFTR, AGT, PRKAR2B, NMUR2, ADRB2, EGFR","Neuroactive ligand-receptor interaction (8), Relaxin signaling pathway (7), cAMP signaling pathway (5), Renin secretion (4), GnRH signaling pathway (4), Focal adhesion (3), PI3K-Akt signaling pathway (3), Phospholipase D signaling pathway (3), Adrenergic signaling in cardiomyocytes (3), Chemokine signaling pathway (3), Cytokine-cytokine receptor interaction (3), Dopaminergic synapse (3), Long-term depression (3), Rap1 signaling pathway (3), Platelet activation (2), AGE-RAGE signaling pathway in diabetic complications (2), Leukocyte transendothelial migration (2), Serotonergic synapse (2), Insulin secretion (2), Osteoclast differentiation (2), TNF signaling pathway (2), MAPK signaling pathway (2), Regulation of actin cytoskeleton (2), ECM-receptor interaction (1), Endocrine and other factor-regulated calcium reabsorption (1), Sphingolipid signaling pathway (1), Vasopressin-regulated water reabsorption (1), Thyroid hormone synthesis (1), Th1 and Th2 cell differentiation (1), Th17 cell differentiation (1), Apoptosis (1), T cell receptor signaling pathway (1), Mitophagy - animal (1), NOD-like receptor signaling pathway (1), Toll-like receptor signaling pathway (1), Ras signaling pathway (1)"
"4711",29904,"EEF2K","MedConf","Yes",NA,"MAPK13, RAE1, UBC","RNA transport (1), Th1 and Th2 cell differentiation (1), Platelet activation (1), Dopaminergic synapse (1), Th17 cell differentiation (1), GnRH signaling pathway (1), Sphingolipid signaling pathway (1), T cell receptor signaling pathway (1), Adrenergic signaling in cardiomyocytes (1), Fc epsilon RI signaling pathway (1), Relaxin signaling pathway (1), RIG-I-like receptor signaling pathway (1), AGE-RAGE signaling pathway in diabetic complications (1), Osteoclast differentiation (1), NOD-like receptor signaling pathway (1), TNF signaling pathway (1), Leukocyte transendothelial migration (1), Rap1 signaling pathway (1), MAPK signaling pathway (1), Toll-like receptor signaling pathway (1)"
"4733",1943,"EFNA2","MedConf","Yes","PI3K-Akt signaling pathway, Rap1 signaling pathway, Ras signaling pathway","EPHA6, PDGFRB, NGFR, FLT4, FGFR3, PDGFRA, CSF1R, EGFR","Ras signaling pathway (7), Rap1 signaling pathway (7), PI3K-Akt signaling pathway (7), Cytokine-cytokine receptor interaction (6), Focal adhesion (4), MAPK signaling pathway (4), Regulation of actin cytoskeleton (4), Phospholipase D signaling pathway (3), Hematopoietic cell lineage (1), Osteoclast differentiation (1), GnRH signaling pathway (1), Relaxin signaling pathway (1)"
"4743",9343,"EFTUD2","MedConf","Yes","Spliceosome","SF3B6, SRRM1, CD2BP2, POLR2F, POLR2J, HNRNPA2B1, HNRNPH1, PTBP1, SRSF2, YBX1, PHF5A, SRSF1, SRSF3, CCAR1, HNRNPM, PAPOLA, BCAS2, IK, PCF11, CDC5L, SF3B1, SNW1, PRPF8, UBC, SF3B2, XAB2, SNRPD3, RPS2, RPL19","Spliceosome (14), Ribosome (2), Notch signaling pathway (1), RNA transport (1)"
"4749",1956,"EGFR","MedConf","Yes","PI3K-Akt signaling pathway, Cytokine-cytokine receptor interaction, Regulation of actin cytoskeleton, MAPK signaling pathway, Rap1 signaling pathway, Focal adhesion, Ras signaling pathway, Relaxin signaling pathway, GnRH signaling pathway, Phospholipase D signaling pathway","SFN, RPS27A, HSPA5, PXN, GAPDH, KRAS, GAB2, STAT1, SH3GLB1, CDC42, TUBA1A, RAB5A, HNRNPH1, PDGFRB, PTK2B, TSG101, GNAI3, CLTA, CTNND1, PIK3R3, SHC2, EPN1, DNM1, EFNA2, TLR2, LRIG1, FGF9, CXCL8, ITGA1, EDN1, PLSCR1, ZFYVE28, SH3GLB2, ABI1, ADAM12, CAV3, FGF12, FGF8, FGF10, CAMLG, PTPN2, LAMP1, PTPN6, TFF3, NRG4, ITGB1, UBB, UBC, EPS8, STUB1","Rap1 signaling pathway (12), Ras signaling pathway (12), Regulation of actin cytoskeleton (11), PI3K-Akt signaling pathway (11), Chemokine signaling pathway (9), Focal adhesion (8), Phospholipase D signaling pathway (8), Leukocyte transendothelial migration (7), MAPK signaling pathway (7), AGE-RAGE signaling pathway in diabetic complications (6), Phagosome (5), Relaxin signaling pathway (5), Jak-STAT signaling pathway (4), T cell receptor signaling pathway (4), Toll-like receptor signaling pathway (4), Sphingolipid signaling pathway (4), Platelet activation (3), Apoptosis (3), Fc epsilon RI signaling pathway (3), Fc gamma R-mediated phagocytosis (3), Aldosterone-regulated sodium reabsorption (3), Thyroid hormone signaling pathway (3), Osteoclast differentiation (3), GnRH signaling pathway (3), ECM-receptor interaction (2), Mitophagy - animal (2), TNF signaling pathway (2), NOD-like receptor signaling pathway (2), Cytokine-cytokine receptor interaction (2), Endocrine and other factor-regulated calcium reabsorption (2), cAMP signaling pathway (2), Long-term depression (2), Serotonergic synapse (2), Hematopoietic cell lineage (1), RIG-I-like receptor signaling pathway (1), NF-kappa B signaling pathway (1), Platinum drug resistance (1), Dopaminergic synapse (1), Adrenergic signaling in cardiomyocytes (1), Renin secretion (1), Vasopressin-regulated water reabsorption (1), Th1 and Th2 cell differentiation (1), Th17 cell differentiation (1), Protein export (1), Thyroid hormone synthesis (1), Ribosome (1), Cell cycle (1)"
"4753",1958,"EGR1","HighConf","Yes","AGE-RAGE signaling pathway in diabetic complications","IRF6, GBP2, ISG15, OASL, IRF9, SP1, JUN","NOD-like receptor signaling pathway (3), Osteoclast differentiation (2), Mitophagy - animal (2), Jak-STAT signaling pathway (1), RIG-I-like receptor signaling pathway (1), Th1 and Th2 cell differentiation (1), Th17 cell differentiation (1), Apoptosis (1), GnRH signaling pathway (1), T cell receptor signaling pathway (1), Relaxin signaling pathway (1), AGE-RAGE signaling pathway in diabetic complications (1), Focal adhesion (1), cAMP signaling pathway (1), TNF signaling pathway (1), MAPK signaling pathway (1), Toll-like receptor signaling pathway (1)"
"4754",1959,"EGR2","HighConf","Yes",NA,"MED26, RELA, MED7, MED10, MED8, MED19, MED21, MED14, CEBPD","Thyroid hormone signaling pathway (1), Th1 and Th2 cell differentiation (1), Th17 cell differentiation (1), Apoptosis (1), Sphingolipid signaling pathway (1), T cell receptor signaling pathway (1), Mitophagy - animal (1), Relaxin signaling pathway (1), Ras signaling pathway (1), RIG-I-like receptor signaling pathway (1), AGE-RAGE signaling pathway in diabetic complications (1), Osteoclast differentiation (1), cAMP signaling pathway (1), Chemokine signaling pathway (1), NOD-like receptor signaling pathway (1), TNF signaling pathway (1), MAPK signaling pathway (1), Toll-like receptor signaling pathway (1), PI3K-Akt signaling pathway (1), NF-kappa B signaling pathway (1)"
"4764",79813,"EHMT1","HighConf","Yes","Lysine degradation","CXCL8, UBC, RELA, PLOD3, UBB, RPS27A","Mitophagy - animal (2), RIG-I-like receptor signaling pathway (2), AGE-RAGE signaling pathway in diabetic complications (2), Chemokine signaling pathway (2), NOD-like receptor signaling pathway (2), Toll-like receptor signaling pathway (2), NF-kappa B signaling pathway (2), Lysine degradation (1), Th1 and Th2 cell differentiation (1), Th17 cell differentiation (1), Apoptosis (1), Sphingolipid signaling pathway (1), T cell receptor signaling pathway (1), Relaxin signaling pathway (1), Ras signaling pathway (1), Osteoclast differentiation (1), cAMP signaling pathway (1), TNF signaling pathway (1), MAPK signaling pathway (1), PI3K-Akt signaling pathway (1), Ribosome (1), Phospholipase D signaling pathway (1), Cytokine-cytokine receptor interaction (1)"
"4765",10919,"EHMT2","HighConf","Yes","Lysine degradation","UBC",NA
"4771",10209,"EIF1","HighConf","Yes","RNA transport","EIF2S3, EIF4G1, EIF4A1, EIF4G2, EIF3I, EIF2S2, EIF3B, EIF3J, EIF3A, UBC, RPS27A, RPS2, EIF2S1","RNA transport (10), Ribosome (2), Apoptosis (1)"
"4778",5610,"EIF2AK2","MedConf","Yes",NA,"STAT1, EIF2S2, EIF2S3, CD14, TLR4, MYD88, TIRAP, NFKBIB, TOLLIP, LY96, MAP3K7, UBC, EIF2S1","Toll-like receptor signaling pathway (8), NF-kappa B signaling pathway (6), NOD-like receptor signaling pathway (5), RNA transport (3), T cell receptor signaling pathway (2), RIG-I-like receptor signaling pathway (2), Osteoclast differentiation (2), MAPK signaling pathway (2), Th1 and Th2 cell differentiation (2), Th17 cell differentiation (2), Chemokine signaling pathway (2), Phagosome (2), Apoptosis (1), TNF signaling pathway (1), PI3K-Akt signaling pathway (1), Hematopoietic cell lineage (1), Regulation of actin cytoskeleton (1), Jak-STAT signaling pathway (1), Thyroid hormone signaling pathway (1), AGE-RAGE signaling pathway in diabetic complications (1)"
"4783",8891,"EIF2B3","MedConf","Yes","RNA transport","EIF2S2, EIF2S1, EIF2S3, UBC","RNA transport (3), Apoptosis (1)"
"4787",1965,"EIF2S1","HighConf","Yes","RNA transport, Apoptosis","EIF2AK2, RPL37, RPL27, RPL3, RPL26L1, RPL3L, EIF3B, EIF3I, EIF3A, EIF3J, EIF2S2, EIF1, EIF2S3, EIF4B, EIF4G1, EIF4A1, EIF4G2, DDX3X, EIF2B3, RPS2, RPL19, RPL23A, MAX, RPS27A, UBC, RPLP2, RPL4, RPL31, RPS8, RPL24, RPL32","Ribosome (15), RNA transport (12), MAPK signaling pathway (1), RIG-I-like receptor signaling pathway (1), PI3K-Akt signaling pathway (1)"
"4788",8894,"EIF2S2","HighConf","Yes","RNA transport","EIF1, EIF2S3, EIF4B, EIF4G1, EIF4A1, EIF4G2, EIF2B3, EIF3J, RPL27, RPS2, RPL23A, RPL32, RPL31, RPL24, RPL4, RPL3L, RPS27A, RPL19, EIF2S1, RPS8, EIF3I, EIF3B, EIF3A, RPL26L1, RPL37, UBC, RPLP2, EIF2AK2, RPL3","Ribosome (15), RNA transport (12), Apoptosis (1), PI3K-Akt signaling pathway (1)"
"4789",1968,"EIF2S3","MedConf","Yes","RNA transport","EIF4B, EIF4G1, EIF4A1, EIF4G2, EIF2B3, RPS27A, EIF2AK2, RPL24, EIF3B, RPL4, RPL32, RPLP2, EIF3A, EIF2S1, EIF2S2, RPS2, RPL3, RPL27, RPL23A, RPL19, EIF3I, RPL3L, EIF3J, RPS8, UBC, RPL26L1, RPL31, RPL37, EIF1","Ribosome (15), RNA transport (12), Apoptosis (1), PI3K-Akt signaling pathway (1)"
"4790",8661,"EIF3A","HighConf","Yes","RNA transport","EIF3J, EIF2S2, EIF1, EIF2S3, EIF4B, EIF4G1, PTBP1, EIF4A1, EIF4G2, RPL31, RPS2, RPL26L1, RPL3L, RPL27, RPL24, UBC, RPL23A, EIF2S1, EIF3B, COPS5, RPS27A, RPL32, RPS8, RPL3, RPL37, RPL4, EIF3I, RPL19, RPLP2","Ribosome (15), RNA transport (11), Apoptosis (1), PI3K-Akt signaling pathway (1)"
"4791",8662,"EIF3B","MedConf","Yes","RNA transport","EIF3I, COPS5, EIF3A, EIF3J, EIF2S2, EIF1, EIF2S3, EIF4B, EIF4G1, EIF4A1, DDX3X, RPL27, RPL3L, RPL19, RPL24, EIF2S1, RPL3, RPL37, RPS8, UBC, RPL31, RPS27A, RPL23A, RPL26L1, RPL4, RPL32, RPLP2, RPS2","Ribosome (15), RNA transport (10), Apoptosis (1), RIG-I-like receptor signaling pathway (1), PI3K-Akt signaling pathway (1)"
"4798",8668,"EIF3I","MedConf","Yes","RNA transport","COPS5, EIF3A, EIF3J, EIF2S2, EIF1, EIF2S3, EIF4B, EIF4G1, EIF4A1, RPL3L, RPS8, RPL27, RPL37, EIF2S1, RPS2, RPL3, UBC, RPL23A, RPL19, RPL4, RPLP2, RPS27A, RPL24, RPL31, EIF3B, RPL32, RPL26L1","Ribosome (15), RNA transport (10), Apoptosis (1), PI3K-Akt signaling pathway (1)"
"4799",8669,"EIF3J","MedConf","Yes","RNA transport","EIF2S2, EIF1, EIF2S3, EIF4B, EIF4G1, EIF4A1, RPL26L1, RPL31, RPL4, RPL27, EIF3A, RPL32, UBC, EIF3I, EIF3B, RPS27A, RPLP2, RPL37, RPL3, RPS2, COPS5, RPS8, EIF2S1, RPL19, RPL24, RPL3L, RPL23A","Ribosome (15), RNA transport (10), Apoptosis (1), PI3K-Akt signaling pathway (1)"
"4803",1973,"EIF4A1","MedConf","Yes","RNA transport","EIF4G2, PARN, CNOT11, EIF4E3, PSMC4, EIF2S2, PTBP1, RPLP2, EIF1, MAX, RPL4, RPL32, RPS8, EIF3I, UBC, RPL3, EIF2S3, RPL3L, EIF4B, RPS27A, RPL26L1, RPL27, RPL31, RPL24, RPL37, ISG15, EIF3A, EIF4G1, RPS2, EIF2S1, EIF3B, EIF3J, RPL19, RPL23A","Ribosome (15), RNA transport (11), PI3K-Akt signaling pathway (1), RIG-I-like receptor signaling pathway (1), Apoptosis (1), MAPK signaling pathway (1), Proteasome (1)"
"4806",1975,"EIF4B","MedConf","Yes","RNA transport, PI3K-Akt signaling pathway","EIF4G1, EIF4A1, EIF4G2, PARN, CNOT11, RPS8, RPL24, RPL4, RPLP2, EIF2S1, EIF2S3, RPL32, RPS27A, EIF3B, RPL19, EIF2S2, RPL31, UBC, RPL26L1, RPL3, EIF3I, RPL3L, RPS2, RPL37, EIF3A, RPL23A, EIF3J, RPL27","Ribosome (15), RNA transport (10), Apoptosis (1)"
"4809",317649,"EIF4E3","MedConf","Yes",NA,"EIF4G1, EIF4G2, EIF4A1, ISG15","RNA transport (3), RIG-I-like receptor signaling pathway (1)"
"4814",1981,"EIF4G1","HighConf","Yes","RNA transport","PTBP1, POLDIP3, EIF4A1, EIF4G2, PSMF1, DDX3X, PARN, CNOT11, EIF4E3, PSMB5, PSMB1, RPS27A, RPL32, PSMC1, PSMD12, ISG15, PSMC5, RPL24, EIF3I, EIF1, EIF2S1, RPL26L1, RPS8, PSMD2, PSMA6, UBC, PSMD7, EIF3A, EIF2S3, EIF3B, UBB, PSMB4, PSMD1, PSMA5, RPL23A, PSMA7, PSMC4, EIF2S2, PSMA4, RPLP2, PSMB2, RPL3L, PSMD3, RPL37, PSMD11, RPL3, RPL31, PSMA1, EIF4B, PSMC2, RPL4, RPL27, PSMA3, MAX, RPL19, RPS2, EIF3J, PSMD6","Proteasome (22), Ribosome (15), RNA transport (11), RIG-I-like receptor signaling pathway (2), PI3K-Akt signaling pathway (1), Apoptosis (1), MAPK signaling pathway (1), Mitophagy - animal (1)"
"4815",1982,"EIF4G2","HighConf","Yes","RNA transport","EIF4E3, EIF2S2, PTBP1, ISG15, EIF4A1, EIF2S3, EIF4G1, EIF1, EIF3A, EIF2S1, UBC, EIF4B","RNA transport (8), PI3K-Akt signaling pathway (1), RIG-I-like receptor signaling pathway (1), Apoptosis (1)"
"4823",55520,"ELAC1","MedConf","Yes","RNA transport",NA,NA
"4833",2000,"ELF4","HighConf","Yes",NA,"UBC, RUNX1","Th17 cell differentiation (1)"
"4838",2005,"ELK4","HighConf","Yes","MAPK signaling pathway","MAPK13, TBPL2","Th1 and Th2 cell differentiation (1), Platelet activation (1), Dopaminergic synapse (1), Th17 cell differentiation (1), GnRH signaling pathway (1), Sphingolipid signaling pathway (1), T cell receptor signaling pathway (1), Adrenergic signaling in cardiomyocytes (1), Fc epsilon RI signaling pathway (1), Relaxin signaling pathway (1), RIG-I-like receptor signaling pathway (1), AGE-RAGE signaling pathway in diabetic complications (1), Osteoclast differentiation (1), NOD-like receptor signaling pathway (1), TNF signaling pathway (1), Leukocyte transendothelial migration (1), Rap1 signaling pathway (1), MAPK signaling pathway (1), Toll-like receptor signaling pathway (1)"
"4848",91748,"ELMSAN1","HighConf","Yes",NA,"HDAC2","Cell cycle (1), Notch signaling pathway (1), Thyroid hormone signaling pathway (1)"
"4904",2021,"ENDOG","MedConf","Yes","Apoptosis","UBC",NA
"4925",133121,"ENPP6","MedConf","Yes","Ether lipid metabolism","PLA2G6, JMJD7-PLA2G4B, PLA2G4A, LPCAT4, PLA2G4D","Ether lipid metabolism (5), Ras signaling pathway (4), Platelet activation (3), Phospholipase D signaling pathway (3), GnRH signaling pathway (3), Fc epsilon RI signaling pathway (3), Long-term depression (3), Serotonergic synapse (3), MAPK signaling pathway (3), Fc gamma R-mediated phagocytosis (3)"
"4933",9583,"ENTPD4","HighConf","Yes",NA,"NT5C, PDE6A, PDE1B, AMPD1, PDE5A, ITPA, PDE6H, HPRT1","Renin secretion (1)"
"4943",2034,"EPAS1","HighConf","Yes",NA,"ARNT, KLF4, SLC2A1, RPS27A, UBC, SMAD4, EPO, UBB, SP1","Mitophagy - animal (2), Jak-STAT signaling pathway (1), Hematopoietic cell lineage (1), Cytokine-cytokine receptor interaction (1), PI3K-Akt signaling pathway (1), Cell cycle (1), Th17 cell differentiation (1), AGE-RAGE signaling pathway in diabetic complications (1), Ribosome (1), Insulin secretion (1), Thyroid hormone signaling pathway (1)"
"4964",285220,"EPHA6","MedConf","Yes",NA,"EFNA2","Ras signaling pathway (1), Rap1 signaling pathway (1), PI3K-Akt signaling pathway (1)"
"4978",29924,"EPN1","MedConf","Yes",NA,"DNM1, CLTA, CSF1R, RET, EGFR, FGFR3, CLTC, RPS27A, UBC, PDGFRA, UBB","Ras signaling pathway (4), Rap1 signaling pathway (4), PI3K-Akt signaling pathway (4), Cytokine-cytokine receptor interaction (3), Endocrine and other factor-regulated calcium reabsorption (3), Phospholipase D signaling pathway (3), MAPK signaling pathway (3), Regulation of actin cytoskeleton (3), Focal adhesion (2), Hematopoietic cell lineage (1), Osteoclast differentiation (1), Ribosome (1), GnRH signaling pathway (1), Relaxin signaling pathway (1), Mitophagy - animal (1)"
"4981",2056,"EPO","MedConf","Yes","PI3K-Akt signaling pathway, Cytokine-cytokine receptor interaction, Hematopoietic cell lineage, Jak-STAT signaling pathway","EPAS1, CREB1, ARNT, CNTFR, IL21R, IL3RA, IL12RB2, COPS5, JUN, STAT1, RAP1A","Jak-STAT signaling pathway (5), Cytokine-cytokine receptor interaction (4), cAMP signaling pathway (3), Th1 and Th2 cell differentiation (3), Th17 cell differentiation (3), Osteoclast differentiation (3), Focal adhesion (2), Chemokine signaling pathway (2), MAPK signaling pathway (2), AGE-RAGE signaling pathway in diabetic complications (2), NOD-like receptor signaling pathway (2), Toll-like receptor signaling pathway (2), Apoptosis (2), Relaxin signaling pathway (2), TNF signaling pathway (2), PI3K-Akt signaling pathway (2), Platelet activation (1), Ras signaling pathway (1), Leukocyte transendothelial migration (1), Rap1 signaling pathway (1), Thyroid hormone signaling pathway (1), GnRH signaling pathway (1), T cell receptor signaling pathway (1), Mitophagy - animal (1), Hematopoietic cell lineage (1), Dopaminergic synapse (1), Adrenergic signaling in cardiomyocytes (1), Insulin secretion (1), Renin secretion (1), Vasopressin-regulated water reabsorption (1), Thyroid hormone synthesis (1)"
"4988",2059,"EPS8","MedConf","Yes",NA,"EGFR, CDC42, RAB5A, ABI1","Ras signaling pathway (3), GnRH signaling pathway (2), Focal adhesion (2), Rap1 signaling pathway (2), MAPK signaling pathway (2), Regulation of actin cytoskeleton (2), Phagosome (1), Vasopressin-regulated water reabsorption (1), T cell receptor signaling pathway (1), Fc gamma R-mediated phagocytosis (1), AGE-RAGE signaling pathway in diabetic complications (1), Chemokine signaling pathway (1), Leukocyte transendothelial migration (1), Phospholipase D signaling pathway (1), Relaxin signaling pathway (1), Cytokine-cytokine receptor interaction (1), PI3K-Akt signaling pathway (1)"
"5005",23085,"ERC1","HighConf","Yes","NF-kappa B signaling pathway","PYDC1, IKBKB, UBC, MAP3K7, MAP3K3, RELA","MAPK signaling pathway (4), NOD-like receptor signaling pathway (4), T cell receptor signaling pathway (3), RIG-I-like receptor signaling pathway (3), Osteoclast differentiation (3), TNF signaling pathway (3), Toll-like receptor signaling pathway (3), NF-kappa B signaling pathway (3), Th1 and Th2 cell differentiation (2), Th17 cell differentiation (2), Apoptosis (2), Ras signaling pathway (2), Chemokine signaling pathway (2), PI3K-Akt signaling pathway (2), GnRH signaling pathway (1), Sphingolipid signaling pathway (1), Mitophagy - animal (1), Relaxin signaling pathway (1), AGE-RAGE signaling pathway in diabetic complications (1), cAMP signaling pathway (1)"
"5061",2101,"ESRRA","MedConf","Yes",NA,"CREB1, NR4A1, NR1D1, RORA, ALAS1, RARG, NR0B2","PI3K-Akt signaling pathway (2), Th17 cell differentiation (1), MAPK signaling pathway (1), Dopaminergic synapse (1), Adrenergic signaling in cardiomyocytes (1), Insulin secretion (1), Renin secretion (1), Vasopressin-regulated water reabsorption (1), Relaxin signaling pathway (1), Osteoclast differentiation (1), cAMP signaling pathway (1), TNF signaling pathway (1), Thyroid hormone synthesis (1)"
"5115",23265,"EXOC7","MedConf","Yes",NA,"RAB14, UBC, CDC42","GnRH signaling pathway (1), T cell receptor signaling pathway (1), Fc gamma R-mediated phagocytosis (1), Ras signaling pathway (1), AGE-RAGE signaling pathway in diabetic complications (1), Focal adhesion (1), Chemokine signaling pathway (1), Leukocyte transendothelial migration (1), Rap1 signaling pathway (1), MAPK signaling pathway (1), Regulation of actin cytoskeleton (1)"
"5119",5394,"EXOSC10","MedConf","Yes",NA,"EXOSC5, EXOSC4, PAPOLA, SUV39H2, SUV39H1, UBC","Lysine degradation (2)"
