EntrezID,GeneSymbol,InputCategory,TRIAGEhits,Pathway,InteractingGenes,NetworkGenePathways
4599,MX1,HighConf,Yes,,"IRF5, OAS3, ISG15, STAT1, HLA-B, EIF2AK2, DDX58, OAS2, GBP2","NOD-like receptor signaling pathway (4), Necroptosis (2), RIG-I-like receptor signaling pathway (2), Toll-like receptor signaling pathway (2), AGE-RAGE signaling pathway in diabetic complications (1), Antigen processing and presentation (1), C-type lectin receptor signaling pathway (1), Cell adhesion molecules (1), Chemokine signaling pathway (1), Cytosolic DNA-sensing pathway (1), Endocytosis (1), Natural killer cell mediated cytotoxicity (1), NF-kappa B signaling pathway (1), Osteoclast differentiation (1), Phagosome (1), Prolactin signaling pathway (1), Type I diabetes mellitus (1)"
4600,MX2,HighConf,Yes,,"IRF5, OAS3, ISG15, STAT1, HLA-B, EIF2AK2, DDX58, OAS2, GBP2","NOD-like receptor signaling pathway (4), Necroptosis (2), RIG-I-like receptor signaling pathway (2), Toll-like receptor signaling pathway (2), AGE-RAGE signaling pathway in diabetic complications (1), Antigen processing and presentation (1), C-type lectin receptor signaling pathway (1), Cell adhesion molecules (1), Chemokine signaling pathway (1), Cytosolic DNA-sensing pathway (1), Endocytosis (1), Natural killer cell mediated cytotoxicity (1), NF-kappa B signaling pathway (1), Osteoclast differentiation (1), Phagosome (1), Prolactin signaling pathway (1), Type I diabetes mellitus (1)"
10135,NAMPT,HighConf,Yes,NOD-like receptor signaling pathway,,
8774,NAPG,MedConf,Yes,,"CTSZ, IGF2R, VAMP8","Lysosome (2), Apoptosis (1), Endocytosis (1)"
4688,NCF2,MedConf,Yes,"Phagosome, Osteoclast differentiation, Leukocyte transendothelial migration",CLTA,"Endocytosis (1), Lysosome (1)"
23385,NCSTN,MedConf,Yes,,"CD63, VAMP8",Lysosome (1)
4790,NFKB1,HighConf,Yes,"NOD-like receptor signaling pathway, NF-kappa B signaling pathway, C-type lectin receptor signaling pathway, Osteoclast differentiation, Toll-like receptor signaling pathway, TNF signaling pathway, Cytosolic DNA-sensing pathway, AGE-RAGE signaling pathway in diabetic complications, HIF-1 signaling pathway, Chemokine signaling pathway, Antifolate resistance, Apoptosis, Adipocytokine signaling pathway, Prolactin signaling pathway, RIG-I-like receptor signaling pathway","REL, SRC, ITGAM, KPNB1, CTSZ, CCL5, NFKB2, IL1B, GGH, DDX58, TRAF1, LYZ, IL1A, CD40, IFIH1, SQSTM1, TXN","NF-kappa B signaling pathway (5), Osteoclast differentiation (4), C-type lectin receptor signaling pathway (3), Cytosolic DNA-sensing pathway (3), Hematopoietic cell lineage (3), Necroptosis (3), NOD-like receptor signaling pathway (3), TNF signaling pathway (3), Toll-like receptor signaling pathway (3), AGE-RAGE signaling pathway in diabetic complications (2), Antifolate resistance (2), Apoptosis (2), Cell adhesion molecules (2), Chemokine signaling pathway (2), RIG-I-like receptor signaling pathway (2), Type I diabetes mellitus (2), Complement and coagulation cascades (1), Endocytosis (1), Leukocyte transendothelial migration (1), Lysosome (1), Phagosome (1), Prolactin signaling pathway (1)"
4791,NFKB2,HighConf,Yes,"NF-kappa B signaling pathway, C-type lectin receptor signaling pathway, Osteoclast differentiation","IL1B, DDX58, IL1A, IFIH1, NFKB1, REL","AGE-RAGE signaling pathway in diabetic complications (3), Cytosolic DNA-sensing pathway (3), NF-kappa B signaling pathway (3), Osteoclast differentiation (3), RIG-I-like receptor signaling pathway (3), Antifolate resistance (2), C-type lectin receptor signaling pathway (2), Hematopoietic cell lineage (2), Necroptosis (2), NOD-like receptor signaling pathway (2), TNF signaling pathway (2), Toll-like receptor signaling pathway (2), Type I diabetes mellitus (2), Adipocytokine signaling pathway (1), Apoptosis (1), Chemokine signaling pathway (1), HIF-1 signaling pathway (1), Prolactin signaling pathway (1)"
10577,NPC2,MedConf,Yes,"Lysosome, Cholesterol metabolism","FTL, GGH, RNASET2, LYZ, GM2A, FABP5, SDCBP","Antifolate resistance (1), Ferroptosis (1), Lysosome (1), Mineral absorption (1), Necroptosis (1), PPAR signaling pathway (1)"
4939,OAS2,MedConf,Yes,NOD-like receptor signaling pathway,"IFIT1, IFIT3, GBP1, GBP2, IFIT2, MX1, MX2, MT2A, ISG20, IRF5, OAS3, ISG15, PML, HLA-B, ICAM1, CD44","NOD-like receptor signaling pathway (3), Cell adhesion molecules (2), Endocytosis (2), Natural killer cell mediated cytotoxicity (2), AGE-RAGE signaling pathway in diabetic complications (1), Antigen processing and presentation (1), Hematopoietic cell lineage (1), Leukocyte transendothelial migration (1), Mineral absorption (1), NF-kappa B signaling pathway (1), Phagosome (1), RIG-I-like receptor signaling pathway (1), TNF signaling pathway (1), Toll-like receptor signaling pathway (1), Type I diabetes mellitus (1)"
4940,OAS3,MedConf,Yes,NOD-like receptor signaling pathway,"ISG15, PML, HLA-B, ICAM1, CD44, OAS2, IFIT1, IFIT3, GBP1, GBP2, IFIT2, MX1, MX2, MT2A, ISG20, IRF5","NOD-like receptor signaling pathway (3), Cell adhesion molecules (2), Endocytosis (2), Natural killer cell mediated cytotoxicity (2), AGE-RAGE signaling pathway in diabetic complications (1), Antigen processing and presentation (1), Hematopoietic cell lineage (1), Leukocyte transendothelial migration (1), Mineral absorption (1), NF-kappa B signaling pathway (1), Phagosome (1), RIG-I-like receptor signaling pathway (1), TNF signaling pathway (1), Toll-like receptor signaling pathway (1), Type I diabetes mellitus (1)"
5175,PECAM1,MedConf,Yes,"Cell adhesion molecules, Leukocyte transendothelial migration",SRC,"C-type lectin receptor signaling pathway (1), Chemokine signaling pathway (1), Endocytosis (1), Prolactin signaling pathway (1)"
5209,PFKFB3,HighConf,Yes,"HIF-1 signaling pathway, Fructose and mannose metabolism","HK2, FBP2","Fructose and mannose metabolism (2), HIF-1 signaling pathway (1)"
5321,PLA2G4A,MedConf,Yes,Necroptosis,"PLD3, FCER1G, PTGS2","C-type lectin receptor signaling pathway (2), Natural killer cell mediated cytotoxicity (1), NF-kappa B signaling pathway (1), TNF signaling pathway (1)"
5329,PLAUR,HighConf,Yes,Complement and coagulation cascades,"VAMP8, SRC, MOSPD2, ITGAM, TOM1, UBR4, ADAM10, VTN, SERPINB2, MMP12","Complement and coagulation cascades (3), C-type lectin receptor signaling pathway (1), Cell adhesion molecules (1), Chemokine signaling pathway (1), Endocytosis (1), Hematopoietic cell lineage (1), Leukocyte transendothelial migration (1), Phagosome (1), Prolactin signaling pathway (1)"
23646,PLD3,HighConf,Yes,,PLA2G4A,Necroptosis (1)
5371,PML,MedConf,Yes,Endocytosis,"HLA-B, ICAM1, CD44, OAS2, GBP1, GBP2, MT2A, IRF5, RANBP2, OAS3, MTA2, GATAD2B","NOD-like receptor signaling pathway (4), Cell adhesion molecules (2), Natural killer cell mediated cytotoxicity (2), AGE-RAGE signaling pathway in diabetic complications (1), Antigen processing and presentation (1), Endocytosis (1), Hematopoietic cell lineage (1), Leukocyte transendothelial migration (1), Mineral absorption (1), NF-kappa B signaling pathway (1), Phagosome (1), TNF signaling pathway (1), Toll-like receptor signaling pathway (1), Type I diabetes mellitus (1)"
5464,PPA1,HighConf,Yes,,ATP6AP1,"Lysosome (1), Phagosome (1)"
5538,PPT1,MedConf,Yes,Lysosome,"ACSL4, ACSL1","Adipocytokine signaling pathway (2), Fatty acid biosynthesis (2), Ferroptosis (2), PPAR signaling pathway (2)"
5743,PTGS2,HighConf,Yes,"NF-kappa B signaling pathway, C-type lectin receptor signaling pathway, TNF signaling pathway",PLA2G4A,Necroptosis (1)
5770,PTPN1,MedConf,Yes,,"STAT5A, TXN, SRC","Prolactin signaling pathway (2), AGE-RAGE signaling pathway in diabetic complications (1), C-type lectin receptor signaling pathway (1), Chemokine signaling pathway (1), Endocytosis (1), Necroptosis (1), NOD-like receptor signaling pathway (1)"
5771,PTPN2,HighConf,Yes,,"STAT5A, SRC, STAT1, EIF2AK2","Necroptosis (3), Prolactin signaling pathway (3), AGE-RAGE signaling pathway in diabetic complications (2), C-type lectin receptor signaling pathway (2), Chemokine signaling pathway (2), Endocytosis (1), NOD-like receptor signaling pathway (1), Osteoclast differentiation (1), Toll-like receptor signaling pathway (1)"
5903,RANBP2,MedConf,Yes,,PML,Endocytosis (1)
5966,REL,HighConf,Yes,,"NFKB2, NFKB1","C-type lectin receptor signaling pathway (2), NF-kappa B signaling pathway (2), Osteoclast differentiation (2), Adipocytokine signaling pathway (1), AGE-RAGE signaling pathway in diabetic complications (1), Antifolate resistance (1), Apoptosis (1), Chemokine signaling pathway (1), Cytosolic DNA-sensing pathway (1), HIF-1 signaling pathway (1), NOD-like receptor signaling pathway (1), Prolactin signaling pathway (1), RIG-I-like receptor signaling pathway (1), TNF signaling pathway (1), Toll-like receptor signaling pathway (1)"
8635,RNASET2,HighConf,Yes,,"GM2A, FABP5, NPC2, FTL, GGH","Lysosome (2), Antifolate resistance (1), Cholesterol metabolism (1), Ferroptosis (1), Mineral absorption (1), Necroptosis (1), PPAR signaling pathway (1)"
6386,SDCBP,MedConf,Yes,,"NPC2, FTL, GGH, GM2A, FABP5","Lysosome (2), Antifolate resistance (1), Cholesterol metabolism (1), Ferroptosis (1), Mineral absorption (1), Necroptosis (1), PPAR signaling pathway (1)"
5055,SERPINB2,HighConf,Yes,Complement and coagulation cascades,PLAUR,Complement and coagulation cascades (1)
8724,SNX3,MedConf,Yes,Endocytosis,,
8878,SQSTM1,MedConf,Yes,"Osteoclast differentiation, Necroptosis","NFKB1, IL1B, GABARAP","NOD-like receptor signaling pathway (3), AGE-RAGE signaling pathway in diabetic complications (2), Antifolate resistance (2), C-type lectin receptor signaling pathway (2), Cytosolic DNA-sensing pathway (2), NF-kappa B signaling pathway (2), Osteoclast differentiation (2), TNF signaling pathway (2), Toll-like receptor signaling pathway (2), Adipocytokine signaling pathway (1), Apoptosis (1), Chemokine signaling pathway (1), Hematopoietic cell lineage (1), HIF-1 signaling pathway (1), Necroptosis (1), Prolactin signaling pathway (1), RIG-I-like receptor signaling pathway (1), Type I diabetes mellitus (1)"
6714,SRC,MedConf,Yes,"C-type lectin receptor signaling pathway, Endocytosis, Chemokine signaling pathway, Prolactin signaling pathway","CBL, HCK, ITGAM, TRAF1, ZC3HAV1, VTN, PTPN2, PTPN1, PECAM1, ITGAX, PLAUR, STAT5A, NFKB1, ZYX","Complement and coagulation cascades (4), AGE-RAGE signaling pathway in diabetic complications (2), Apoptosis (2), Cell adhesion molecules (2), Chemokine signaling pathway (2), Leukocyte transendothelial migration (2), NF-kappa B signaling pathway (2), Prolactin signaling pathway (2), TNF signaling pathway (2), Adipocytokine signaling pathway (1), Antifolate resistance (1), C-type lectin receptor signaling pathway (1), Cytosolic DNA-sensing pathway (1), Endocytosis (1), Hematopoietic cell lineage (1), HIF-1 signaling pathway (1), Necroptosis (1), NOD-like receptor signaling pathway (1), Osteoclast differentiation (1), Phagosome (1), RIG-I-like receptor signaling pathway (1), Toll-like receptor signaling pathway (1)"
6772,STAT1,MedConf,Yes,"NOD-like receptor signaling pathway, C-type lectin receptor signaling pathway, Osteoclast differentiation, Necroptosis, Toll-like receptor signaling pathway, AGE-RAGE signaling pathway in diabetic complications, Chemokine signaling pathway, Prolactin signaling pathway","ITGAM, EIF2AK2, DDX58, IFIT1, MX1, MX2, CAMK2D, PTPN2, ITGAX, ISG15, STAT5A","Necroptosis (3), Complement and coagulation cascades (2), RIG-I-like receptor signaling pathway (2), AGE-RAGE signaling pathway in diabetic complications (1), Cell adhesion molecules (1), Cytosolic DNA-sensing pathway (1), Hematopoietic cell lineage (1), HIF-1 signaling pathway (1), Leukocyte transendothelial migration (1), NF-kappa B signaling pathway (1), Phagosome (1), Prolactin signaling pathway (1)"
6776,STAT5A,HighConf,Yes,"Necroptosis, AGE-RAGE signaling pathway in diabetic complications, Prolactin signaling pathway","SRC, STAT1, PTPN2, PTPN1, CD40","C-type lectin receptor signaling pathway (2), Chemokine signaling pathway (2), Prolactin signaling pathway (2), Toll-like receptor signaling pathway (2), AGE-RAGE signaling pathway in diabetic complications (1), Cell adhesion molecules (1), Endocytosis (1), Necroptosis (1), NF-kappa B signaling pathway (1), NOD-like receptor signaling pathway (1), Osteoclast differentiation (1)"
8676,STX11,HighConf,Yes,,VAMP8,
7037,TFRC,HighConf,Yes,"Hematopoietic cell lineage, Ferroptosis, Phagosome, Endocytosis, HIF-1 signaling pathway","FTH1, IGF2R, VAMP8, FNBP1, CBL, FTL, CLTA, ATP6AP1, DAB2","Endocytosis (4), Lysosome (3), Ferroptosis (2), Mineral absorption (2), Necroptosis (2), Phagosome (1)"
7045,TGFBI,HighConf,Yes,,ITGAM,"Cell adhesion molecules (1), Complement and coagulation cascades (1), Hematopoietic cell lineage (1), Leukocyte transendothelial migration (1), Phagosome (1)"
10043,TOM1,MedConf,Yes,,"CD63, PLAUR, VAMP8, ITGAM","Complement and coagulation cascades (2), Cell adhesion molecules (1), Hematopoietic cell lineage (1), Leukocyte transendothelial migration (1), Lysosome (1), Phagosome (1)"
7185,TRAF1,HighConf,Yes,"NF-kappa B signaling pathway, TNF signaling pathway, Apoptosis","CD40, NFKB1, SRC","C-type lectin receptor signaling pathway (2), Chemokine signaling pathway (2), NF-kappa B signaling pathway (2), Prolactin signaling pathway (2), Toll-like receptor signaling pathway (2), Adipocytokine signaling pathway (1), AGE-RAGE signaling pathway in diabetic complications (1), Antifolate resistance (1), Apoptosis (1), Cell adhesion molecules (1), Cytosolic DNA-sensing pathway (1), Endocytosis (1), HIF-1 signaling pathway (1), NOD-like receptor signaling pathway (1), Osteoclast differentiation (1), RIG-I-like receptor signaling pathway (1), TNF signaling pathway (1)"
7295,TXN,HighConf,Yes,NOD-like receptor signaling pathway,"NFKB1, LGALS3, PTPN1","Adipocytokine signaling pathway (1), AGE-RAGE signaling pathway in diabetic complications (1), Antifolate resistance (1), Apoptosis (1), C-type lectin receptor signaling pathway (1), Chemokine signaling pathway (1), Cytosolic DNA-sensing pathway (1), HIF-1 signaling pathway (1), NF-kappa B signaling pathway (1), NOD-like receptor signaling pathway (1), Osteoclast differentiation (1), Prolactin signaling pathway (1), RIG-I-like receptor signaling pathway (1), TNF signaling pathway (1), Toll-like receptor signaling pathway (1)"
23352,UBR4,MedConf,Yes,,"FCER1G, ITGAX, PLAUR, VAMP8, ITGAM","Complement and coagulation cascades (3), C-type lectin receptor signaling pathway (1), Cell adhesion molecules (1), Hematopoietic cell lineage (1), Leukocyte transendothelial migration (1), Natural killer cell mediated cytotoxicity (1), Phagosome (1)"
8673,VAMP8,MedConf,Yes,,"FNBP1, CBL, MOSPD2, HLA-B, ITGAM, NAPG, FTL, CTSZ, CLTA, NCSTN, CPNE3, TOM1, DAB2, TFRC, FTH1, UBR4, ADAM10, FCER1G, CD63, IGF2R, STX11, ITGAX, PLAUR","Endocytosis (6), Lysosome (4), Complement and coagulation cascades (3), Ferroptosis (3), Phagosome (3), Cell adhesion molecules (2), Hematopoietic cell lineage (2), Mineral absorption (2), Natural killer cell mediated cytotoxicity (2), Necroptosis (2), Antigen processing and presentation (1), Apoptosis (1), C-type lectin receptor signaling pathway (1), HIF-1 signaling pathway (1), Leukocyte transendothelial migration (1), Type I diabetes mellitus (1)"
7448,VTN,MedConf,Yes,Complement and coagulation cascades,"PLAUR, SRC","C-type lectin receptor signaling pathway (1), Chemokine signaling pathway (1), Complement and coagulation cascades (1), Endocytosis (1), Prolactin signaling pathway (1)"
7453,WARS1,HighConf,Yes,,EHD1,Endocytosis (1)
56829,ZC3HAV1,MedConf,Yes,,SRC,"C-type lectin receptor signaling pathway (1), Chemokine signaling pathway (1), Endocytosis (1), Prolactin signaling pathway (1)"
7791,ZYX,MedConf,Yes,,SRC,"C-type lectin receptor signaling pathway (1), Chemokine signaling pathway (1), Endocytosis (1), Prolactin signaling pathway (1)"
